"Sample","Observed","Shannon","Simpson","diet","site","subject_id","Berger_Parker"
"SRR8146963",55,2.15753935340952,0.835806011732523,"vegan","Turin","VOV56",0.264135368328546
"SRR8146969",65,2.11103253291376,0.809913728667233,"omnivore","Turin","VOV39",0.303178714386626
"SRR8146971",61,1.82513142833242,0.638776164898841,"omnivore","Turin","VOV28",0.584821191669601
"SRR8146973",72,2.33163477442492,0.83951710045889,"vegan","Turin","VOV114",0.286072134671862
"SRR8146974",47,1.60954691918342,0.677173569254559,"vegan","Turin","VOV113",0.503131039205885
"SRR8146976",57,2.49859745811965,0.86499328552375,"omnivore","Turin","VOV70",0.274803216437932
