"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"g__Coprococcus",0.752171888122298,-2.11457340793018,0.163841673404035,0.59632621802517,4.59084598255682,-3.54600107124743,0.0194165630580803,0.0381995737591849,0.854328774555531,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"g__Dorea",0.505967596035387,-1.23159407605713,0.895949403862064,0.996673877707905,0.564727867281759,-1.23570417927425,0.602424570521876,0.284179137922541,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Enterocloster",-0.386254430452982,0.552849976919608,0.507749247511573,0.700559689088406,-0.760718863387735,0.789154708057776,0.489199276812138,0.474165882879812,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Hungatella",-0.209092992774761,-0.00088179465477356,0.338684059143866,0.518106515958558,-0.617368863782109,-0.00170195631132362,0.599915373315015,0.998796536022485,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Lachnospira",-0.396773793580509,0.42332931197831,0.575640637761606,1.05591919505418,-0.689273424342267,0.400910707903732,0.540178474179258,0.715331904786021,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Mediterraneibacter",0.349394063137599,-0.918447010261552,0.419118705060487,0.547957309491487,0.83363987080265,-1.67612876834125,0.451370751761046,0.169020928647611,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Roseburia",-0.300027336191365,0.380395788396374,0.491114275727936,0.59040440826048,-0.610911453849841,0.644296998928482,0.574268513483459,0.554469710330251,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Simiaoa",-0.697426379385313,1.17519387478427,0.934571601329184,1.29799180948661,-0.746252484446785,0.905393906336812,0.49698532243692,0.416460710275761,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Acidaminococcus",1.57805329597138,-3.25666489545825,0.376963251855878,1.01033157644699,4.18622581432609,-3.22336247958405,0.0526011780370167,0.0842596682344612,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Phascolarctobacterium",1.42035598936717,-3.94250556361795,0.751332108839363,1.27280881088925,1.89045027179964,-3.09748450033396,0.155085551723433,0.0534003354770107,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Bacteroides",-0.512753023986713,0.805847163987072,0.633464103764983,0.827344479765308,-0.809442904403224,0.97401648732299,0.463660258262195,0.38520175528095,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Phocaeicola",0.116145496485646,-0.451949876957646,0.695858263089038,1.21665843459775,0.166909703665881,-0.371468165678785,0.875538997182945,0.729128230960788,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Barnesiella",-0.188214900093383,-0.0426379800175286,0.531174212552182,0.635952326057871,-0.354337420088693,-0.0670458747778031,0.756958271901267,0.952644594829459,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Butyricimonas",0.760970677421247,-1.3988864236158,0.459408162872949,0.565696553855687,1.65641522924288,-2.47285654134047,0.196215087101393,0.0898365972993552,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Odoribacter",-0.279647079266971,0.339635274547586,1.32396431792586,1.42293512376204,-0.211219498502096,0.238686408730736,0.843040723741134,0.823078622709862,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Paraprevotella",-0.127666317508481,-0.0724497964288189,0.567458740645932,1.43509922558239,-0.22497903083343,-0.0504841722003002,0.836449160556587,0.96290982529561,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Segatella",2.66541999019736,-5.55049886438106,0.36103237758726,0.559188074433316,7.38277272528869,-9.92599649054742,0.00179447175497849,0.000578396180343283,0.084340172483989,0.0271846204761343,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"g__Alistipes",-0.691576409661737,1.16349393533712,0.680137720380143,0.781740355025392,-1.01681819569601,1.48833807524153,0.366741072692046,0.210886167772254,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Parabacteroides",0.115770209339342,-0.45119930266504,0.417566573992242,0.618270320364188,0.277249704717727,-0.729776746196168,0.795326803173395,0.505965820612716,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Homo",0.741103676872854,-1.70186623773206,0.524850027746063,0.720625243162425,1.41202941353643,-2.36165226500187,0.230794856695055,0.0775230835020494,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Sutterella",-0.0573653583861185,-0.248202194234724,1.86513766005262,2.05043758405759,-0.0307566350810267,-0.121048402626116,0.977395389299429,0.911305166562811,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Bilophila",0.0517438617589835,-0.324200113587511,0.587604020022182,0.874098057096439,0.0880590669836299,-0.370896732872777,0.935378610972639,0.735357109667362,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Akkermansia",-2.65765051630406,5.09564214862177,1.75281492655306,1.93688857994998,-1.51621855567512,2.6308390690978,0.204052702561843,0.0581350902561845,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
