"diet","n","mean_observed","sd_observed","mean_shannon","sd_shannon","mean_simpson","sd_simpson","mean_berger_parker","sd_berger_parker"
"omnivore",3,61,4,2.14492047312194,0.338009493487994,0.771227726363275,0.11796610316804,0.387601040831386,0.171385918743184
"vegan",3,58,12.7671453348037,2.03290701567262,0.376832366416609,0.784165560481991,0.0926763599036554,0.351112847402098,0.132107734099371
