run,diet,site,subject_id
SRR8146971,omnivore,Turin,VOV28
SRR8146969,omnivore,Turin,VOV39
SRR8146976,omnivore,Turin,VOV70
SRR8146974,vegan,Turin,VOV113
SRR8146973,vegan,Turin,VOV114
SRR8146963,vegan,Turin,VOV56
